column_name,column_description
cognress_rep_id,the representative id of congress representatives
first_name,the first name of the congress representative
last_name,the last name of the congress representative
CID,the unique identifier for the congress representative
party,the party of the representative
state,the state that the representative is from
abbreviation,the abbreviation of the state
House,the house that the representative is from
District,the id of the district that the representative represents 
land_area,the land area of the district
