column_name,column_description
id,
artist,The name of the artist that illustrated the card art.
asciiName,The ASCII(opens new window) (Basic/128) code formatted card name with no special unicode characters.
availability,A list of the card's available printing types.
borderColor,The color of the card border.
cardKingdomFoilId,card Kingdom Foil Id
cardKingdomId,card Kingdom Id
colorIdentity,"A list of all the colors found in manaCost, colorIndicator, and text"
colorIndicator,A list of all the colors in the color indicator (The symbol prefixed to a card's types).
colors,A list of all the colors in manaCost and colorIndicator. 
convertedManaCost,The converted mana cost of the card. Use the manaValue property.
duelDeck,The indicator for which duel deck the card is in.
edhrecRank,The card rank on EDHRec
faceConvertedManaCost,The converted mana cost or mana value for the face for either half or part of the card. 
faceName,The name on the face of the card.
flavorName,The promotional card name printed above the true card name on special cards that has no game function.
flavorText,The italicized text found below the rules text that has no game function.
frameEffects,The visual frame effects.
frameVersion,The version of the card frame style.
hand,The starting maximum hand size total modifier. 
hasAlternativeDeckLimit,If the card allows a value other than 4 copies in a deck.
hasContentWarning,If the card marked by Wizards of the Coast (opens new window) for having sensitive content. See this official article (opens new window) for more information.
hasFoil,If the card can be found in foil
hasNonFoil,If the card can be found in non-foil
isAlternative,If the card is an alternate variation to an original printing
isFullArt,If the card has full artwork.
isOnlineOnly,If the card is only available in online game variations.
isOversized,If the card is oversized.
isPromo,If the card is a promotional printing.
isReprint,If the card has been reprinted.
isReserved,If the card is on the Magic: The Gathering Reserved List (opens new window)
isStarter,If the card is found in a starter deck such as Planeswalker/Brawl decks.
isStorySpotlight,If the card is a Story Spotlight card.
isTextless,If the card does not have a text box.
isTimeshifted,If the card is time shifted
keywords,A list of keywords found on the card.
layout,"The type of card layout. For a token card, this will be ""token"""
leadershipSkills,A list of formats the card is legal to be a commander in
life,The starting life total modifier. A plus or minus character precedes an integer.
loyalty,The starting loyalty value of the card.
manaCost,The mana cost of the card wrapped in brackets for each value.
mcmId,
mcmMetaId,
mtgArenaId,
mtgjsonV4Id,
mtgoFoilId,
mtgoId,
multiverseId,
name,The name of the card.
number,The number of the card
originalReleaseDate,original Release Date
originalText,original Text
originalType,original Type
otherFaceIds,other Face Ids
power,The power of the card.
printings,"A list of set printing codes the card was printed in, formatted in uppercase."
promoTypes,A list of promotional types for a card.
purchaseUrls,Links that navigate to websites where the card can be purchased.
rarity,The card printing rarity.
scryfallId,
scryfallIllustrationId,
scryfallOracleId,
setCode,The set printing code that the card is from.
side,The identifier of the card side. 
subtypes,A list of card subtypes found after em-dash.
supertypes,A list of card supertypes found before em-dash.
tcgplayerProductId,
text,The rules text of the card.
toughness,The toughness of the card.
type,"The type of the card as visible, including any supertypes and subtypes."
types,"A list of all card types of the card, including Un‑sets and gameplay variants."
uuid,The universal unique identifier (v5) generated by MTGJSON. Each entry is unique.
variations,
watermark,The name of the watermark on the card.
