column_name,column_description
playerID,id number identifying the player
year,year
stint,order of appearance in a season
tmID,team abbreviated name
lgID,league abbreviated name
GP,Games played
Min,Minutes of appearance
W,wins
L,loses
T_OL,Ties / overtime losses
ENG,Empty net goals
SHO,Shutouts
GA,Goals against
SA,Shots against
PostGP,Postseason games played
PostMin,Postseason minutes
PostW,Postseason wins
PostL,Postseason loses
PostT,Postseason ties
PostENG,Postseason empty net goals
PostGA,Postseason goals against
PostSA,Postseason shots against
PostSHO,Postseason shutouts
