column_name,column_description
name,the name of the river
river,the river where it finally flows to
lake,the lake where it finally flows to
sea, the sea where it finally flows to
length,the length of the river
sourcelongitude,the longitude of its source
sourcelatitude,the latitude of its source
mountains,the mountains where its source is located
sourcealtitude, the elevation (above sea level) of its source
estuarylongitude,the coordinates of its estuary
estuarylatitude,the latitude of its estuary
