column_name,column_description
playerid,ID number identifying the unique number of the player
usefirst,
firstname,the first name of the player
middlename,the middle name of the player
lastname,the last name of the player
namegiven,
fullgivenname,
namesuffix,the suffix name of the player
namenick,
pos,the position of the player
firstseason,
lastseason,
height,inch
weight,lb
college,college
collegeother,the college that transferred from 
birthdate,birthdate
birthcity,birthcity
birthstate,birth state
birthcountry,birth country
highschool,high school
hscity,high school city
hsstate,high school state
hscountry,high school country
deathdate,deathdate
race,
