column_name,column_description
id,the unique number to identify this record
playerID,ID number identifying the unique number of the player
year,year
stint,the period of the time player spent played for this team
tmID,team name
lgID,
GP,game presentatons (attendance)
GS,game starting
minutes,minutes
points,points
oRebounds,offense rebounds
dRebounds,defense rebounds
rebounds,total rebounds
assists,assistants
steals,steals
blocks,blocks
turnovers,turnovers
PF,personal fouls
fgAttempted,field goal attempted
fgMade,field goal made
ftAttempted,free throw attempted
ftMade,free throw made
threeAttempted,three point attempted
threeMade,three point made
PostGP,post season game presentations
PostGS,post season game starting
PostMinutes,post season minutes
PostPoints,post season points
PostoRebounds,post season offense rebounds
PostdRebounds,post season defense rebounds
PostRebounds,post season defense rebounds
PostAssists,
PostSteals,
PostBlocks,
PostTurnovers,
PostPF,
PostfgAttempted,
PostfgMade,
PostftAttempted,
PostftMade,
PostthreeAttempted,
PostthreeMade,
note,
