column_name,column_description
App,Application name
Category,Category the app belongs to
Rating,Overall user rating of the app (as when scraped)
Reviews,Number of user reviews for the app (as when scraped)
Size,Size of the app (as when scraped)
Installs,Number of user downloads/installs for the app (as when scraped)
Type,Paid or Free
Price,Price of the app (as when scraped)
Content_Rating,Age group the app is targeted at - Children / Mature 21+ / Adult
Genres,An app can belong to multiple genres (apart from its main category).
