column_name,column_description
active,Whether the campaign is active. Only applicable to trigger campaigns.
created_at,Timestamp when the campaign was created.
description,Description of the campaign
id,Unique integer ID of the campaign.
name,Name of the campaign.
program_id,"ID of the parent program, if applicable."
type,"Type of campaign, either 'batch' or 'trigger'."
updated_at,Timestamp when the campaign was most recently updated.
workspace_name,"Name of the parent workspace, if applicable."
computed_url,The URL of the campaign in Marketo.
flow_id,The ID of the flow that the campaign is associated with.
folder_id,The ID of the folder that the campaign is stored in.
folder_type,The type of folder that the campaign is stored in.
is_communication_limit_enabled,Whether or not the campaign has a communication limit.
is_requestable,Whether or not the campaign can be requested by leads.
is_system,Whether or not the campaign is a system campaign.
qualification_rule_type,The type of qualification rule that the campaign uses.
qualification_rule_interval,The interval for the qualification rule.
qualification_rule_unit,The unit for the qualification rule.
recurrence_start_at,The start date and time for the recurrence.
recurrence_interval_type,The type of recurrence interval.
recurrence_interval,The value of the recurrence interval.
recurrence_weekday_only,Whether or not the recurrence is limited to weekdays.
smart_list_id,The ID of the smart list that the campaign is associated with.
status,The status of the campaign.
_fivetran_deleted,Boolean created by Fivetran to indicate whether the record has been deleted.
