column_name,column_description
BusinessEntityID,The id number identifying the employee.
NationalIDNumber,The national identification number such as a social security number.
LoginID,Network login.
OrganizationNode,Where the employee is located in corporate hierarchy.
OrganizationLevel,The depth of the employee in the corporate hierarchy.
JobTitle,Work title such as Buyer or Sales Representative.
BirthDate,Date of birth.
MaritalStatus,Whether this employee is married or not.
Gender,The gender of this employee.
HireDate,The employee was hired on this date.
SalariedFlag,Job classification.
VacationHours,The number of available vacation hours.
SickLeaveHours,The number of available sick leave hours.
CurrentFlag,Whether this employee is active or not
rowguid,Uniquely identifying the record. Used to support a merge replication sample. 
ModifiedDate,Date and time the record was last updated. 
