column_name,column_description
ProductID,The unique id number identifying the product.
Name,Name of the product.
ProductNumber,The unique product identification number.
MakeFlag,The source of product make.
FinishedGoodsFlag,Whether the product is salable or not.
Color,Color
SafetyStockLevel,The minimum inventory quantity.
ReorderPoint,Inventory level that triggers a purchase order or work order.
StandardCost,Standard cost of the product.
ListPrice,Selling price
Size,Product size
SizeUnitMeasureCode,Unit of measure for Size column.
WeightUnitMeasureCode,Unit of measure for Weight column.
Weight,Product weight
DaysToManufacture,Number of days required to manufacture the product.
ProductLine,Product Routine
Class,Product quality class
Style,Style
ProductSubcategoryID,Product is a member of this product subcategory.
ProductModelID,Product is a member of this product model.
SellStartDate,Date the product was available for sale.
SellEndDate,Date the product was no longer available for sale.
rowguid,Uniquely identifying the record. Used to support a merge replication sample. 
ModifiedDate,Date and time the record was last updated. 
