column_name,column_description
specialofferid,The unique id number identifying the special offer.
description,Discount description.
discountpct,Discount percentage.
type,Discount type category.
category,Group the discount applies to such as Reseller or Customer.
startdate,Discount start date.
enddate,Discount end date.
minqty,Minimum discount percent allowed.
maxqty,Maximum discount percent allowed.
rowguid,Uniquely identifying the record. Used to support a merge replication sample. 
modifieddate,Date and time the record was last updated. 
