column_name,column_description
ID,Advertiser ID
ADDRESS,Advertiser address information
BALANCE,Account available balance
CELLPHONE_NUMBER,"Contact mobile number, desensitised data. This is the newest version of the field `phone_number`, which was renamed after the Tiktok Ads v1.3 API release.
"
COMPANY,Advertiser's company name
CONTACTER,Contact Person
COUNTRY,The advertiser's country
CREATE_TIME,Advertiser's create time
CURRENCY,Type of currency used by advertisers
DESCRIPTION,"Brand description, i.e. promotional content"
EMAIL,"Advertiser contact email, desensitised data"
INDUSTRY,Advertiser industry category
LANGUAGE,Language used by advertisers
LICENSE_NO,License number
LICENSE_URL,"License preview address, the link is valid for an hour by default."
NAME,Advertiser name
PROMOTION_AREA,Operation area
REJECTED_REASON,Reason for rejection
ROLE,Advertiser role
STATUS,Advertiser status
TELEPHONE_NUMBER,"Fixed phone number, desensitised data This is the newest version of the field `telephone`, which was renamed after the Tiktok Ads v1.3 API release.
"
TIMEZONE,Ad account time zone including GMT offset
_FIVETRAN_SYNCED,Timestamp of when Fivetran synced a record.
