column_name,column_description
campaign_id,Campaign id
stat_time_hour,Hour of activity
cost_per_conversion,"The average amount of money you've spent on a conversion.  (The total count is calculated based on the time each ad impression occurred.)
"
real_time_conversion,"The number of times your ad achieved an outcome,  based on the objective and settings you selected. (The total count is based on when the conversion actually happened.)
"
cpc,The average amount of money you've spent on a click.
video_play_actions,The number of times your video starts to play. Replays will not be counted.
conversion_rate,"The percentage of results you received out of all the clicks of your ads.   (The total count is calculated based on the time each ad impression occurred.)
"
video_views_p_75,The number of times your video was played at 75% of its length. Replays will not be counted.
result,"The number of times your ad achieved an outcome, based on the optimization goal  you selected. As one campaign may have a number of different optimization goals,  this statistic is not supported for campaigns. Please go to ad groups or ads to view the results.  (The total count is calculated based on the time each ad impression occurred.)
"
video_views_p_50,The number of times your video was played at 50% of its length. Replays will not be counted.
impressions,The number of times your ads were on screen.
comments,The number of comments your video creative received within 1 day of a user seeing a paid ad.
real_time_cost_per_result,"As a campaign may have different optimization goals, the total number of result  is not supported in campaign section now, please go to the ad group section to view the cost  per Result. (The total count is based on when the conversion actually happened.)
"
conversion,"The number of times your ad achieved an outcome, based on the secondary goal you selected.  As one campaign may have a number of different secondary goals, this statistic is not supported for campaigns. Please go to ad groups or ads to view. (The total count is calculated based on the time each ad impression occurred.)
"
real_time_result,"The number of times your ad achieved an outcome, based on the optimization goal you selected.  As a campaign may have different optimization goals, the total number of result is not supported in campaign section now , Please go to the ad group section to view the result. (The total count is based on when the conversion actually happened.)
"
video_view_p_100,The number of times your video was played at 100% of its length. Replays will not be counted.
shares,The number of shares your video creative received within 1 day of a user seeing a paid ad.
real_time_conversion_rate,The percentage of results you received out of all the clicks of your ads. (The total count is based on when the conversion actually happened.)
cost_per_secondary_goal_result,"The average cost for each secondary goal result from your adverts. As one campaign may have a number of different secondary goals,  this statistic is not supported for campaigns. Please go to ad groups or ads to view. (The total count is calculated based on the time each ad impression occurred.)
"
secondary_goal_result_rate,"The percentage of secondary goal results you achieved out of all of the installs of your adverts. As one campaign may have a number  of different secondary goals, this statistic is not supported for campaigns. Please go to ad groups or ads to view. The total count is calculated based on the time each ad impression occurred.
"
clicks,The number of clicks on your ads.
cost_per_1000_reached,"The average cost to reach 1,000 unique users. This metric is estimated."
video_views_p_25,The number of times your video was played at 25% of its length. Replays will not be counted.
reach,The number of unique users who saw your ads at least once. This metric is estimated.
real_time_cost_per_conversion,The average amount of money you've spent on a conversion. (The total count is based on when the conversion actually happened.)
profile_visits_rate,The rate of profile visits per impression the paid ad drove during the campaign. This metric is only for Boosted TikToks.
average_video_play,"The average time your video was played per single video view, including any time spent replaying the video."
profile_visits,The number of profile visits the ad drove during the campaign. This metric is only for Boosted TikToks.
cpm,"The average amount of money you've spent per 1,000 impressions."
ctr,The percentage of times people saw your ad and performed a click.
video_watched_2_s,The number of times your video played for at least 2 seconds. Replays will not be counted.
follows,The number of new followers that were gained within 1 day of a user seeing a paid ad. This metric is only for Boosted TikToks.
result_rate,"The percentage of results you achieved out of all of the views/clicks on your ads. As one campaign may have a number  of different optimization goals, this statistic is not supported for campaigns. Please go to ad groups or ads to view the result rate.  (The total count is calculated based on the time each ad impression occurred.)
"
video_watched_6_s,"The number of times your video played for at least 6 seconds, or completely played. Replays will not be counted."
secondary_goal_result,"The number of times your ad achieved an outcome, based on the secondary goal you selected. As one campaign may have a number  of different secondary goals, this statistic is not supported for campaigns. Please go to ad groups or ads to view. (The total count is  calculated based on the time each ad impression occurred.)
"
cost_per_result,"The average cost for each result from your ads. As one campaign may have a number of different optimization goals, this statistic  is not supported for campaigns. Please go to ad groups or ads to view the cost per result. (The total count is calculated based on the time each ad impression occurred.)
"
average_video_play_per_user,"The average time your video was played per person, including any time spent replaying the video. This metric is estimated."
real_time_result_rate,"As a campaign may have different optimization goals, the total number of result is not supported in campaign section now ,Please go to the ad group section to  view the Result Rate. (The total count is based on when the conversion actually happened.)
"
spend,"The estimated total amount of money you've spent on your campaign, ad group or ad during its schedule."
likes,The number of likes your video creative received within 1 day of a user seeing a paid ad.
_fivetran_synced,Timestamp of when Fivetran synced a record.
real_time_conversion,Number of times your ad resulted in the optimization event you selected.
total_purchase_value,The total value of purchase events that occurred in your app that were recorded by your measurement partner.
total_sales_lead_value,The monetary worth or potential value assigned to a lead generated through ads.
