column_name,column_description
position_id,Identifier for the specific position.
worker_id,Unique identifier for the worker.
_fivetran_active,TRUE if it is the currently active record. FALSE if it is a historical version of the record. Only one version of the record can be TRUE.
_fivetran_start,Timestamp when the record was first created or modified in the source.
_fivetran_end,Timestamp marking the end of a record being active.
_fivetran_synced,Timestamp the record was synced by Fivetran.
index,An index for a particular identifier.
date_of_pay_group_assignment,Date a group's pay is assigned to be processed.
organization_id,Identifier for the organization.
primary_business_site,Primary location a worker's business is situated.
used_in_change_organization_assignments,If a worker has opted to change these organization assignments.
