column_name,column_description
productid,The id number identifying the products.
businessentityid,The id number identifying the business entities.
averageleadtime,The average span of time between placing an order with the vendor and receiving the purchased product.
standardprice,The vendor's usual selling price.
lastreceiptcost,The selling price when last purchased.
lastreceiptdate,Date the product was last received by the vendor.
minorderqty,The maximum quantity that should be ordered.
maxorderqty,The minimum quantity that should be ordered.
onorderqty,The quantity currently on order.
unitmeasurecode,The product's unit of measure.
modifieddate,Date and time the record was last updated. 
