column_name,column_description
purchaseorderid,The unique id number identifying purchase order.
revisionnumber,Incremental number to track changes to the purchase order over time. 
status,Order current status.
employeeid,Employee who created the purchase order.
vendorid,Vendor with whom the purchase order is placed.
shipmethodid,Shipping method
orderdate,Purchase order creation date
shipdate,Estimated shipment date from the vendor.
subtotal,Purchase order subtotal
taxamt,Tax amount
freight,Shipping cost
totaldue,Total due to vendor
modifieddate,Date and time the record was last updated. 
