column_name,column_description
territoryid,The unique id number for SalesTerritory records.
name,Sales territory description.
countryregioncode,ISO standard country or region code.
group,Geographic area to which the sales territory belong.
salesytd,Sales in the territory year to date.
saleslastyear,Sales in the territory the previous year.
costytd,Business costs in the territory year to date.
costlastyear,Business costs in the territory the previous year.
rowguid,Uniquely identifying the record. Used to support a merge replication sample. 
modifieddate,Date and time the record was last updated. 
