column_name,column_description
SeriesCode,unique code identifying series
Topic,topic of series
IndicatorName,Indicator Name
ShortDefinition,Short Definition of series
LongDefinition,Long Definition of series 
UnitOfMeasure,Unit Of Measure
Periodicity,Periodicity
BasePeriod,"a period of business or economic activity used as a basis or reference point especially for indexing, calculating, estimating, or adjudicating prices, taxes, compensation, income, and production"
AggregationMethod,Aggregation Method
LimitationsAndExceptions,Limitations And Exceptions
NotesFromOriginalSource,Notes From Original Source
GeneralComments,General Comments
Source,source of this data
StatisticalConceptAndMethodology,Statistical Concept And Methodology
DevelopmentRelevance,Development Relevance
RelatedSourceLinks,Related Source Links
LicenseType,License Type
