column_name,column_description
_fivetran_id,The unique ID of the record generated by Fivetran
date,The date the video was viewed
_fivetran_synced,Timestamp of when the record was synced by Fivetran
average_view_duration_percentage,Average view duration calculated as a percentage
average_view_duration_seconds,Average view duration calculated in seconds
channel_id,Unique identifier of the video channel
comments,Number of comments the posted towards the video
dislikes,Number of dislikes the video received
likes,Number of likes the video received
shares,Number of times the video was shared
subscribers_gained,Number of subscribers gained
subscribers_lost,Number of subscribers lost
video_id,Unique ID of the video
views,Number of views the video received
watch_time_minutes,Total watch time the video received in minutes
card_click_rate,
annotation_clickable_impressions,
card_teaser_impressions,
card_teaser_clicks,
red_watch_time_minutes,
card_clicks,
subscribed_status,
videos_removed_from_playlists,
annotation_click_through_rate,
country_code,
annotation_close_rate,
red_views,
videos_added_to_playlists,
card_teaser_click_rate,
live_or_on_demand,
annotation_closable_impressions,
annotation_closes,
annotation_impressions,
annotation_clicks,
card_impressions,
