column_name,column_description
_fivetran_id,The unique ID of the record generated by Fivetran
_fivetran_synced,Timestamp of when the record was synced by Fivetran
age_group,The age group the individual. Ranges follow the format of 'AGE_[min age]_[max age]'
channel_id,Reference of channel which the video belongs
country_code,Country code where the individual who watched the video is located
date,Date the video was watched
gender,"Gender of the user who watched the video. Either 'MALE', 'FEMALE', or 'GENDER_OTHER'"
live_or_on_demand,Indicates if the video was watched live or on demand. Either 'live' or 'on_demand'
subscribed_status,Indicates if the viewer was subscribed when watching the video. Either 'not_subscribed' or 'subscribed'
video_id,Unique reference ID of the video
views_percentage,Total percent of views the user makes up for the video
