column_name,column_description
id,Unique identifier of the product rate plan charge.
_fivetran_synced,Timestamp of when a record was last synced.
_fivetran_deleted,Boolean identifiying whether the record was deleted in the source.
account_receivable_accounting_code_id,The id of the accounting code for the accounts receivable account.
accounting_code,The accounting code for the charge.
apply_discount_to,The type of charge to which discounts apply.
bill_cycle_type,The type of bill cycle for the charge.
billing_period,The billing period for the charge.
charge_model,The charge model for the charge.
charge_type,The type of charge.
created_by_id,The id of the user who created the charge.
created_date,The date on which the charge was created.
default_quantity,The default quantity for the charge.
deferred_revenue_accounting_code_id,The id of the accounting code for deferred revenue.
description,A description of the charge.
discount_level,The level at which the discount is applied.
end_date_condition,The condition that determines when the charge ends.
is_stacked_discount,Indicates whether the discount is a stacked discount. Values are true or false.
list_price_base,The price used to calculate the charge.
name,The name of the product rate plan charge.
product_id,The unique identifier of the product associated with the product rate plan charge.
product_rate_plan_id,The unique identifier of the product rate plan associated with the product rate plan charge.
tax_mode,"Indicates how the charge is taxed. Values are TAXABLE, NON-TAXABLE, and TAXED_INCLUSIVE."
taxable,Indicates whether the charge is taxable. Values are true or false.
trigger_event,"The event that triggers the charge. Values are SERVICE_ACTIVATION, CONTRACT_EFFECTIVE, CUSTOMER_ACCEPTANCE, or SERVICE_USAGE."
up_to_periods_type,"The billing period type for the up to periods setting. Values are DAY, WEEK, MONTH, and YEAR."
updated_by_id,The unique identifier of the user who last updated the product rate plan charge.
updated_date,The date and time when the product rate plan charge was last updated.
use_discount_specific_accounting_code,Indicates whether the discount uses a specific accounting code. Values are true or false.
price_upsell_quantity_stacked,
legacy_revenue_reporting,
use_tenant_default_for_price_change,
revenue_recognition_rule_name,
overage_calculation_option,
tax_code,
billing_timing,
billing_period_alignment,
recognized_revenue_account,
recognized_revenue_accounting_code_id,
deferred_revenue_account,
price_increase_percentage,
overage_unused_units_credit_option,
price_change_option,
