column_name,column_description
id,The unique identifier for the rate plan charge.
_fivetran_synced,Timestamp of when a record was last synced.
_fivetran_deleted,Boolean identifiying whether the record was deleted in the source.
account_id,The unique identifier of the account associated with the rate plan charge.
account_receivable_accounting_code_id,The unique identifier for the accounting code that represents the account receivable for this charge.
accounting_code,The accounting code associated with this charge.
amended_by_order_on,The date when the amendment order was created or processed.
amendment_id,The unique identifier for the amendment associated with this rate plan charge.
apply_discount_to,The type of discount that is applied to the charge.
bill_cycle_day,The day of the month when the billing cycle for the charge ends.
bill_cycle_type,The type of billing cycle that the charge uses.
bill_to_contact_id,The unique identifier of the contact associated with the account's billing information.
bill_to_contact_snapshot_id,The unique identifier for the snapshot of the bill-to contact information that was used when the charge was created.
billing_period,The billing period for the charge.
billing_timing,The timing of the charge.
booking_exchange_rate,The exchange rate for the charge when it was booked.
booking_exchange_rate_date,The date on which the exchange rate for the charge when it was booked was determined.
charge_model,The model used to calculate the charge.
charge_number,The number of the charge within the subscription.
charge_type,The type of charge.
charged_through_date,The date through which the charge has been charged.
created_by_id,The unique identifier of the user who created the rate plan charge.
created_date,The date and time when the rate plan charge was created.
credit_option,The option used to calculate the credit for the charge.
default_payment_method_id,The unique identifier of the default payment method for the account.
deferred_revenue_accounting_code_id,The unique identifier for the accounting code that represents the deferred revenue for this charge.
description,The description of the rate plan charge.
discount_level,The level of the discount applied to the charge.
dmrc,The amount of the charge in the charge currency.
dmrchome_currency,The amount of the charge in the home currency of the company.
dtcv,The deferred tax calculated value of the rate plan charge.
dtcvhome_currency,The deferred tax calculated value of the rate plan charge in the home currency.
effective_end_date,The date on which the rate plan charge is no longer in effect.
effective_start_date,The date on which the rate plan charge goes into effect.
end_date_condition,The condition that triggers the end date of the rate plan charge.
exchange_rate,The exchange rate used for the rate plan charge.
exchange_rate_date,The date on which the exchange rate was determined.
home_currency,Home currency the customer is billed in.
is_prepaid,A boolean value indicating whether the rate plan charge is prepaid.
is_processed,A boolean value indicating whether the rate plan charge has been processed.
mrr,The monthly recurring revenue of the rate plan charge.
mrrhome_currency,The monthly recurring revenue of the rate plan charge in the home currency.
name,The name of the rate plan charge.
number_of_periods,The number of billing periods for the rate plan charge.
original_id,The original id of the rate plan charge.
original_order_date,The date on which the original order was placed.
price_change_option,The option selected for handling price changes for the rate plan charge.
price_increase_percentage,The percentage increase applied to the rate plan charge price.
processed_through_date,The date through which the rate plan charge has been processed.
product_id,The unique identifier of the product associated with the rate plan charge.
product_rate_plan_charge_id,The unique identifier of the product rate plan charge associated with the rate plan charge.
product_rate_plan_id,The unique identifier of the product rate plan associated with the rate plan charge.
quantity,The quantity associated with the rate plan charge.
rate_plan_id,The unique identifier of the rate plan associated with the rate plan charge.
recognized_revenue_accounting_code_id,The unique identifier of the accounting code associated with recognized revenue for the rate plan charge.
segment,The segment associated with the rate plan charge.
sold_to_contact_id,The unique identifier of the contact associated with the sold-to account.
specific_billing_period,The specific billing period associated with the rate plan charge.
specific_end_date,The specific end date associated with the rate plan charge.
specific_list_price_base,The list price base for the rate plan charge.
subscription_id,The id of the subscription associated with the rate plan charge.
tcv,The total contract value for the rate plan charge.
tcvhome_currency,The home currency value of the Total Contract Value.
transaction_currency,The currency in which the transaction occurs.
trigger_date,The date on which the trigger event occurs.
trigger_event,The type of trigger event that is associated with the rate plan charge.
uom,The unit of measure for the quantity of the rate plan charge.
up_to_periods,The maximum number of billing periods for which the charge is applicable.
up_to_periods_type,The time unit that is used to calculate the maximum number of billing periods for which the charge is applicable.
updated_by_id,The id of the user who last updated the rate plan charge.
updated_date,The date and time when the rate plan charge was last updated.
version,The version number of the rate plan charge.
weekly_bill_cycle_day,The day of the week on which the bill cycle starts.
