column_name,column_description
playerID,player ID
year,play year
stint,Stint (order of appearance in a season)
tmID,team id
lgID,league id
pos,position
GP,game played
G,goals
A,assists
Pts,points
PIM,Penalty minutes
p_n,Plus / minus
PPG,Power play goals
PPA,Power play assists
SHG,Shorthanded goals
SHA,Shorthanded assists
GWG,Game-winning goals
GTG,Game-tying goals
SOG,Shots on goal
PostGP,Postseason games played
PostG,Postseason goals
PostA,Postseason assists
PostPts,Postseason points
PostPIM,Postseason penalty minutes
Post_p_n,Postseason Plus / minus
PostPPG,Postseason power play goals
PostPPA,Postseason power play assists
PostSHG,Postseason Shorthanded goals
PostSHA,Postseason Shorthanded assists
PostGWG,Postseason game-winning goals
PostSOG,Postseason shots on goal
