column_name,column_description
id,The ID of the email.
automation_id,The ID of the automation an email relates to.
create_time,The date and time the automation email was created.
start_time,The date and time the automation email was started.
send_time,The date and time the automation email was sent.
from_name,The 'from' name on the automation email (not an email address).
reply_to,The reply-to email address for the automation.
status,The current status of the automation email.
subject_line,The subject line for the automation email.
title,The title for the automation email.
archive_url,The link to the automation email's archive version in ISO 8601 format.
authenticate,Whether Mailchimp authenticated the automation email. Defaults to true.
auto_footer,Automatically append Mailchimp's default footer to the automation email.
auto_tweet,Automatically tweet a link to the automation email archive page when the automation email is sent.
content_type,"How the automation email's content is put together ('template', 'drag_and_drop', 'html', 'url')."
delay_action,The action that triggers the delay of an Automation email.
delay_action_description,The user-friendly description of the action that triggers an Automation email.
delay_amount,The delay amount for an Automation email.
delay_full_description,The user-friendly description of the delay and trigger action settings for an Automation email.
delay_type,The type of delay for an Automation email.
drag_and_drop,Whether the automation email uses the drag-and-drop editor.
fb_comments,Allows Facebook comments on the automation email (also force-enables the Campaign Archive toolbar). Defaults to true.
google_analytics,The custom slug for Google Analytics tracking (max of 50 bytes).
inline_css,Automatically inline the CSS included with the automation email content.
position,The position of an Automation email in a workflow.
template_id,The ID for the template used in this automation email.
track_ecomm_360,Whether to enable eCommerce360 tracking.
track_goals,Whether to enable Goal tracking.
track_html_clicks,Whether to track clicks in the HTML version of the automation email. Defaults to true. Cannot be set to false for variate campaigns.
track_opens,Whether to track opens. Defaults to true. Cannot be set to false for variate automation emails.
track_text_clicks,Whether to track clicks in the plain-text version of the automation email. Defaults to true. Cannot be set to false for variate campaigns.
_fivetran_synced,UTC timestamp that indicates the time when Fivetran last successfully synced the row.
_fivetran_deleted,Boolean that is true if the row has been soft-deleted from the source.
