column_name,column_description
action_result,The outcome of a specific action performed within the Marketo platform.
activity_date,The timestamp the email was sent.
activity_type_id,The ID of the activity type.
campaign_id,The ID of the email's campaign.
campaign_run_id,The ID of the email's campaign run.
choice_number,The choice number of the current step that triggered the activity.
email_template_id,The ID of the email's template.
id,ID of the activity.
lead_id,The ID of the lead related to the activity.
primary_attribute_value,The primary attribute of the activity.
primary_attribute_value_id,The ID of the primary attribute of the activity.
step_id,The Id of the current step in the flow.
