column_name,column_description
created_at,Timestamp the email template was created.
description,Description of the email template.
folder_folder_name,The name of the email template's folder.
folder_id,The ID of the email template's folder.
folder_type,The type of the email template's folder.
folder_value,The value of the email template's folder.
from_email,The 'From' address of the email.
from_name,The 'From' name of the email.
id,ID of the email template.
name,Name of the email template.
operational,Whether the email is operational. Operational emails bypass unsubscribe status. Defaults to false.
program_id,The ID of the email template's program.
publish_to_msi,Whether the email is published to Marketo Sales Insight.
reply_email,Reply-To address of the Email.
status,Status filter for draft or approved versions.
subject,Subject line of the email.
template,ID of the parent template.
text_only,Setting to include text-only version of email when sent.
updated_at,Timestamp the email template was last updated.
url,URL of the email template in the Marketo UI.
version,"The type version of the email, either '1' or '2'."
web_view,Whether 'View as Webpage' function is enabled for the email.
workspace,Name of the workspace.
