column_name,column_description
id,the unique number to determine one row of the data
draftYear,which year does this draft happens
draftRound,the Round number of this draft
draftSelection,the position that the player was picked
draftOverall,The player's overall draft position for the year
tmID,team name
firstName,the first name of the player
lastName,the last name of the player
suffixName,the suffix name of the player
playerID,ID number identifying the unique number of the player
draftFrom,the university that the drafted players come from
lgID,the league name
