column_name,column_description
id,Unique identifier for the object.
updated_at,When the line item was updated.
account_id,The account this line item belongs to.
add_on_code,"If the line item is a charge or credit for an add-on, this is its code."
amount,Total after discounts and taxes (quantity * unit_amount) - (discount + tax).
created_at,When the line item was created.
credit_applied,The amount of credit from this line item that was applied to the invoice.
currency,3-letter ISO 4217 currency code.
description,Description that appears on the invoice. For subscription related items this will be filled in automatically.
discount,The discount applied to the line item.
invoice_id,Once the line item has been invoiced this will be the invoice's ID.
invoice_number,"Once the line item has been invoiced this will be the invoice's number.  If VAT taxation and the Country Invoice Sequencing feature are enabled,  invoices will have country-specific invoice numbers for invoices billed to EU countries (e.g. FR1001).  Non-EU invoices will continue to use the site-level invoice number sequence.
"
origin,"A credit created from an original charge will have the value of the charge's origin. Enum: ""add_on"", ""add_on_trial"", ""carryforward"", ""coupon"", ""credit"", ""debit"", ""one_time"",  ""plan"", ""plan_trial"", ""setup_fee"", ""prepayment""
"
quantity,"This number will be multiplied by the unit amount to compute the subtotal before any discounts or taxes. Default: 1
"
refund,"true if the line item is refund, false if it is not."
start_date,"If an end date is present, this is value indicates the beginning of a billing time range.  If no end date is present it indicates billing for a specific date.
"
state,"Pending line items are charges or credits on an account that have not been applied to an invoice yet.  Invoiced line items will always have an invoice_id value. Enum: ""invoiced"", ""pending""
"
subtotal,Total before discounts and taxes (quantity * unit_amount).
tax,The tax amount for the line item.
tax_exempt,"true exempts tax on charges, false applies tax on charges. If not defined, then defaults to the Plan and Site settings.  This attribute does not work for credits (negative line items). Credits are always applied post-tax.  Pre-tax discounts should use the Coupons feature.
"
taxable,"true if the line item is taxable, false if it is not."
type,"Charges are positive line items that debit the account.  Credits are negative line items that credit the account. Enum: ""charge"", ""credit""
"
unit_amount,"Positive amount for a charge, negative amount for a credit."
uuid,The UUID is useful for matching data with the CSV exports and building URLs into Recurly's UI. Used in HTB database.
_fivetran_synced,Timestamp the record was synced by Fivetran.
