column_name,column_description
TweetID,the unique id of the tweet
Weekday,the weekday that the tweet has been posted
Hour,the hour that the tweet has been posted
Day,the day that the tweet has been posted
Lang,the language of the tweet
IsReshare,whether the tweet is reshared
Reach,the reach of the tweet
RetweetCount,the retweet count
Likes,the number of likes 
Klout,the klout of the tweet
Sentiment,the sentiment of the tweet
text,the text of the tweet
LocationID,the location id of the poster
UserID,the user id of the poster
