column_name,column_description
id,Unique identifier.
_fivetran_deleted,Indicates if the record was soft-deleted by Fivetran.
_fivetran_synced,Timestamp the record was synced by Fivetran.
critical_job,Flag indicating whether the job is critical.
description,"{{ doc(""job_profile_description"") }}"
effective_date,Date when the job profile becomes effective.
inactive,Flag indicating whether this is inactive.
include_job_code_in_name,Flag indicating whether to include the job code in the job profile name.
job_profile_code,Code assigned to the job profile.
management_level,Management level associated with the job profile.
public_job,Flag indicating whether the job is public.
summary,Summary or overview of the job profile.
title,Title associated with the job profile.
work_shift_required,Flag indicating whether a work shift is required.
