column_name,column_description
CountryCode,unique code identifying countries
ShortName,Short names of countries 
TableName,table names of countries
LongName,long or full name of countries
Alpha2Code,2 digit code of countries 
CurrencyUnit,Currency Unit used in this country
SpecialNotes,Special Notes
Region,region that country belongs to 
IncomeGroup,income level of countries 
Wb2Code,world bank to code
NationalAccountsBaseYear,the year used as the base period for constant price calculations in the country's national accounts
NationalAccountsReferenceYear,National Accounts Reference Year
SnaPriceValuation,SNA Price Valuation
LendingCategory,Lending category
OtherGroups,other groups
SystemOfNationalAccounts,System Of National Accounts
AlternativeConversionFactor,Alternative conversion factor is the underlying annual exchange rate used for the World Bank Atlas method
PppSurveyYear,purchasing power parity survey year
BalanceOfPaymentsManualInUse,Balance Of Payments Manual In Use
ExternalDebtReportingStatus,External Debt Reporting Status
SystemOfTrade,System Of Trade
GovernmentAccountingConcept,Government Accounting Concept
ImfDataDisseminationStandard,IMF Standards for Data Dissemination
LatestPopulationCensus,Latest Population Census
LatestHouseholdSurvey,
SourceOfMostRecentIncomeAndExpenditureData,Source Of Most Recent Income And Expenditure Data
VitalRegistrationComplete,Vital Registration Complete
LatestAgriculturalCensus,Latest Agricultural Census
LatestIndustrialData,Latest Industrial Data
LatestTradeData,Latest Trade Data
LatestWaterWithdrawalData,Latest Water Withdrawal Data
