column_name,column_description
id,The unique identifier of the
_fivetran_synced,Timestamp of when a record was last synced.
_fivetran_deleted,Boolean identifiying whether the record was deleted in the source.
booking_date,The date when the amendment is signed.
code,A unique alphanumeric string that identifies the amendment.
contract_effective_date,The date when the amendment's changes become effective for billing purposes.
created_by_id,Identifier of the user who created
created_date,Creation date for
current_term_period_type,The period type for the current subscription term.
customer_acceptance_date,The date when the customer accepts the amendment's changes to the subscription.
effective_date,The date when the amendment's changes take effective. This field validates that the amendment's changes are within valid ranges of products and product rate plans.
name,The name of the amendment.
renewal_setting,Specifies whether a termed subscription will remain termed or change to evergreen when it is renewed.
renewal_term_period_type,The period type for the subscription renewal term.
service_activation_date,The date when service is activated.
status,The status of the amendment.
subscription_id,The id of the subscription that the amendment changes.
type,The type of amendment.
updated_by_id,Identifier of the user who last updated
updated_date,Last updated date for
